name,metric,weight,roles
Employee Experience - People Quality Mix,"Grading Matrix Target ratio - A+,A,B+,B,C - 5:15:60:15:5",,Project Manager (ME)
Employee Experience - Learning,"Manager sets quarterly Learning Goal for the Team, 
if the goal gets completed then kpi is achieved. (1-5 Score)",,Project Manager (ME)
Customer Delight - Customer Satisfaction,CSAT Index,20%,Program Manager (all regions except ME)
Customer Delight - Value Based Delivery,% of Existing Accounts New Business contracted as VBD,,Program Manager (all regions except ME)
Growth/Scale - Revenue,Achievement of revenue target,20%,Program Manager (all regions except ME)
Growth/Scale - Order Book,Achievement of upsell target,,Program Manager (all regions except ME)
Growth/Scale - On Time Fulfillment,Requisition to Fulfillment,,Program Manager (all regions except ME)
Growth/Scale - Delivery Led Growth,# of Account mining into existing accounts (Cross Sell),,Program Manager (all regions except ME)
Growth/Scale - Managed Services,% of EANB revenue into Annuity,,Program Manager (all regions except ME)
Growth/Scale - Collection,Timely collection against the invoice raised to Client.,,Program Manager (all regions except ME)
Margins/Optimizations - GM Target,Achevement of GM targets,30%,Program Manager (all regions except ME)
Margins/Optimizations - Attrition,Attrition Percentage,,Program Manager (all regions except ME)
Differentiated Delivery - Assets/Accelerators,# of Delivery Assets & Accelerators,,Program Manager (all regions except ME)
Differentiated Delivery - Quality,"1. UAT defects, 2. Period Closing, 3. Rework, 4. Payroll Run, 5. Configuration-No of Iterations/Rework, 6. Integration /Reports/DM- No of Iterations/Rework/SIT Defects/QC, 7. Extension- No of Iterations/Rework/SIT Defects/QC 8. Testing - No of bugs/Defects found/QC",,Program Manager (all regions except ME)
Differentiated Delivery - Productivity,Allocated Man-Days at the time of Kick-Off v/s Actual Man-Days at the time of Project Closure,,Program Manager (all regions except ME)
Differentiated Delivery - Standardization,"Manager sets quarterly Standardization Target for the Team, 
if the target gets completed then kpi is achieved. (1-5 Score)",,Program Manager (all regions except ME)
Differentiated Delivery - Compliance,"Compliance (Processes, Trainings, Audits etc….)",10%,Program Manager (all regions except ME)
Employee Experience - Employee Satisfaction,ESAT Index,5%,Program Manager (all regions except ME)
Employee Experience - Internal Fulfillment,% of requisition to fulfillment,,Program Manager (all regions except ME)
Employee Experience - People Quality Mix,"Grading Matrix Target ratio - A+,A,B+,B,C - 5:15:60:15:5",10%,Program Manager (all regions except ME)
Employee Experience - Learning,"Manager sets quarterly Learning Goal for the Team, 
if the goal gets completed then kpi is achieved. (1-5 Score)",5%,Program Manager (all regions except ME)
Customer Delight - Customer Satisfaction,CSAT Index,15%,Program Manager (ME)
Customer Delight - Value Based Delivery,% of Existing Accounts New Business contracted as VBD,,Program Manager (ME)
Growth/Scale - Revenue,Achievement of revenue target,20%,Program Manager (ME)
Growth/Scale - Order Book,Achievement of upsell target,,Program Manager (ME)
Growth/Scale - On Time Fulfillment,Requisition to Fulfillment,,Program Manager (ME)
Growth/Scale - Delivery Led Growth,# of Account mining into existing accounts (Cross Sell),,Program Manager (ME)
Growth/Scale - Managed Services,% of EANB revenue into Annuity,,Program Manager (ME)
Growth/Scale - Collection,Timely collection against the invoice raised to Client.,10%,Program Manager (ME)
Margins/Optimizations - GM Target,Achevement of GM targets,35%,Program Manager (ME)
Margins/Optimizations - Attrition,Attrition Percentage,,Program Manager (ME)
Differentiated Delivery - Assets/Accelerators,# of Delivery Assets & Accelerators,,Program Manager (ME)
Differentiated Delivery - Quality,"1. UAT defects, 2. Period Closing, 3. Rework, 4. Payroll Run, 5. Configuration-No of Iterations/Rework, 6. Integration /Reports/DM- No of Iterations/Rework/SIT Defects/QC, 7. Extension- No of Iterations/Rework/SIT Defects/QC 8. Testing - No of bugs/Defects found/QC",,Program Manager (ME)
Differentiated Delivery - Productivity,Allocated Man-Days at the time of Kick-Off v/s Actual Man-Days at the time of Project Closure,,Program Manager (ME)
Differentiated Delivery - Standardization,"Manager sets quarterly Standardization Target for the Team, 
if the target gets completed then kpi is achieved. (1-5 Score)",,Program Manager (ME)
Differentiated Delivery - Compliance,"Compliance (Processes, Trainings, Audits etc….)",10%,Program Manager (ME)
Employee Experience - Employee Satisfaction,ESAT Index,10%,Program Manager (ME)
Employee Experience - Internal Fulfillment,% of requisition to fulfillment,,Program Manager (ME)
Employee Experience - People Quality Mix,"Grading Matrix Target ratio - A+,A,B+,B,C - 5:15:60:15:5",,Program Manager (ME)
Employee Experience - Learning,"Manager sets quarterly Learning Goal for the Team, 
if the goal gets completed then kpi is achieved. (1-5 Score)",,Program Manager (ME)
Customer Delight - Customer Satisfaction,CSAT Index,25%,SDM (all regions except ME)
Customer Delight - Value Based Delivery,% of Existing Accounts New Business contracted as VBD,,SDM (all regions except ME)
Growth/Scale - Revenue,Achievement of revenue target,20%,SDM (all regions except ME)
Growth/Scale - Order Book,Achievement of upsell target,10%,SDM (all regions except ME)
Growth/Scale - On Time Fulfillment,Requisition to Fulfillment,,SDM (all regions except ME)
Growth/Scale - Delivery Led Growth,# of Account mining into existing accounts (Cross Sell),,SDM (all regions except ME)
Growth/Scale - Managed Services,% of EANB revenue into Annuity,,SDM (all regions except ME)
Growth/Scale - Collection,Timely collection against the invoice raised to Client.,,SDM (all regions except ME)
Margins/Optimizations - GM Target,Achevement of GM targets,20%,SDM (all regions except ME)
Margins/Optimizations - Attrition,Attrition Percentage,,SDM (all regions except ME)
Differentiated Delivery - Assets/Accelerators,# of Delivery Assets & Accelerators,,SDM (all regions except ME)
Differentiated Delivery - Quality,"1. UAT defects, 2. Period Closing, 3. Rework, 4. Payroll Run, 5. Configuration-No of Iterations/Rework, 6. Integration /Reports/DM- No of Iterations/Rework/SIT Defects/QC, 7. Extension- No of Iterations/Rework/SIT Defects/QC 8. Testing - No of bugs/Defects found/QC",,SDM (all regions except ME)
Differentiated Delivery - Productivity,Allocated Man-Days at the time of Kick-Off v/s Actual Man-Days at the time of Project Closure,,SDM (all regions except ME)
Differentiated Delivery - Standardization,"Manager sets quarterly Standardization Target for the Team, 
if the target gets completed then kpi is achieved. (1-5 Score)",,SDM (all regions except ME)
Differentiated Delivery - Compliance,"Compliance (Processes, Trainings, Audits etc….)",10%,SDM (all regions except ME)
Employee Experience - Employee Satisfaction,ESAT Index,15%,SDM (all regions except ME)
Employee Experience - Internal Fulfillment,% of requisition to fulfillment,,SDM (all regions except ME)
Employee Experience - People Quality Mix,"Grading Matrix Target ratio - A+,A,B+,B,C - 5:15:60:15:5",,SDM (all regions except ME)
Employee Experience - Learning,"Manager sets quarterly Learning Goal for the Team, 
if the goal gets completed then kpi is achieved. (1-5 Score)",,SDM (all regions except ME)
Customer Delight - Customer Satisfaction,CSAT Index,15%,SDM (ME)
Customer Delight - Value Based Delivery,% of Existing Accounts New Business contracted as VBD,,SDM (ME)
Growth/Scale - Revenue,Achievement of revenue target,20%,SDM (ME)
Growth/Scale - Order Book,Achievement of upsell target,,SDM (ME)
Growth/Scale - On Time Fulfillment,Requisition to Fulfillment,,SDM (ME)
Growth/Scale - Delivery Led Growth,# of Account mining into existing accounts (Cross Sell),,SDM (ME)
Growth/Scale - Managed Services,% of EANB revenue into Annuity,,SDM (ME)
Growth/Scale - Collection,Timely collection against the invoice raised to Client.,15%,SDM (ME)
Margins/Optimizations - GM Target,Achevement of GM targets,30%,SDM (ME)
Margins/Optimizations - Attrition,Attrition Percentage,,SDM (ME)
Differentiated Delivery - Assets/Accelerators,# of Delivery Assets & Accelerators,,SDM (ME)
Differentiated Delivery - Quality,"1. UAT defects, 2. Period Closing, 3. Rework, 4. Payroll Run, 5. Configuration-No of Iterations/Rework, 6. Integration /Reports/DM- No of Iterations/Rework/SIT Defects/QC, 7. Extension- No of Iterations/Rework/SIT Defects/QC 8. Testing - No of bugs/Defects found/QC",,SDM (ME)
Differentiated Delivery - Productivity,Allocated Man-Days at the time of Kick-Off v/s Actual Man-Days at the time of Project Closure,,SDM (ME)
Differentiated Delivery - Standardization,"Manager sets quarterly Standardization Target for the Team, 
if the target gets completed then kpi is achieved. (1-5 Score)",,SDM (ME)
Differentiated Delivery - Compliance,"Compliance (Processes, Trainings, Audits etc….)",10%,SDM (ME)
Employee Experience - Employee Satisfaction,ESAT Index,10%,SDM (ME)
Employee Experience - Internal Fulfillment,% of requisition to fulfillment,,SDM (ME)
Employee Experience - People Quality Mix,"Grading Matrix Target ratio - A+,A,B+,B,C - 5:15:60:15:5",,SDM (ME)
Employee Experience - Learning,"Manager sets quarterly Learning Goal for the Team, 
if the goal gets completed then kpi is achieved. (1-5 Score)",,SDM (ME)
Customer Delight - Customer Satisfaction,CSAT Index,20%,Onsite Regional Leader (all regions except ME)
Customer Delight - Value Based Delivery,% of Existing Accounts New Business contracted as VBD,,Onsite Regional Leader (all regions except ME)
Growth/Scale - Revenue,Achievement of revenue target,30%,Onsite Regional Leader (all regions except ME)
Growth/Scale - Order Book,Achievement of upsell target,,Onsite Regional Leader (all regions except ME)
Growth/Scale - On Time Fulfillment,Requisition to Fulfillment,,Onsite Regional Leader (all regions except ME)
Growth/Scale - Delivery Led Growth,# of Account mining into existing accounts (Cross Sell),,Onsite Regional Leader (all regions except ME)
Growth/Scale - Managed Services,% of EANB revenue into Annuity,,Onsite Regional Leader (all regions except ME)
Growth/Scale - Collection,Timely collection against the invoice raised to Client.,,Onsite Regional Leader (all regions except ME)
Margins/Optimizations - GM Target,Achevement of GM targets,30%,Onsite Regional Leader (all regions except ME)
Margins/Optimizations - Attrition,Attrition Percentage,,Onsite Regional Leader (all regions except ME)
Differentiated Delivery - Assets/Accelerators,# of Delivery Assets & Accelerators,,Onsite Regional Leader (all regions except ME)
Differentiated Delivery - Quality,"1. UAT defects, 2. Period Closing, 3. Rework, 4. Payroll Run, 5. Configuration-No of Iterations/Rework, 6. Integration /Reports/DM- No of Iterations/Rework/SIT Defects/QC, 7. Extension- No of Iterations/Rework/SIT Defects/QC 8. Testing - No of bugs/Defects found/QC",,Onsite Regional Leader (all regions except ME)
Differentiated Delivery - Productivity,Allocated Man-Days at the time of Kick-Off v/s Actual Man-Days at the time of Project Closure,,Onsite Regional Leader (all regions except ME)
Differentiated Delivery - Standardization,"Manager sets quarterly Standardization Target for the Team, 
if the target gets completed then kpi is achieved. (1-5 Score)",,Onsite Regional Leader (all regions except ME)
Differentiated Delivery - Compliance,"Compliance (Processes, Trainings, Audits etc….)",5%,Onsite Regional Leader (all regions except ME)
Employee Experience - Employee Satisfaction,ESAT Index,10%,Onsite Regional Leader (all regions except ME)
Employee Experience - Internal Fulfillment,% of requisition to fulfillment,,Onsite Regional Leader (all regions except ME)
Employee Experience - People Quality Mix,"Grading Matrix Target ratio - A+,A,B+,B,C - 5:15:60:15:5",5%,Onsite Regional Leader (all regions except ME)
Employee Experience - Learning,"Manager sets quarterly Learning Goal for the Team, 
if the goal gets completed then kpi is achieved. (1-5 Score)",,Onsite Regional Leader (all regions except ME)
Customer Delight - Customer Satisfaction,CSAT Index,15%,Onsite Regional Leader (ME)
Customer Delight - Value Based Delivery,% of Existing Accounts New Business contracted as VBD,,Onsite Regional Leader (ME)
Growth/Scale - Revenue,Achievement of revenue target,30%,Onsite Regional Leader (ME)
Growth/Scale - Order Book,Achievement of upsell target,,Onsite Regional Leader (ME)
Growth/Scale - On Time Fulfillment,Requisition to Fulfillment,,Onsite Regional Leader (ME)
Growth/Scale - Delivery Led Growth,# of Account mining into existing accounts (Cross Sell),,Onsite Regional Leader (ME)
Growth/Scale - Managed Services,% of EANB revenue into Annuity,,Onsite Regional Leader (ME)
Growth/Scale - Collection,Timely collection against the invoice raised to Client.,5%,Onsite Regional Leader (ME)
Margins/Optimizations - GM Target,Achevement of GM targets,35%,Onsite Regional Leader (ME)
Margins/Optimizations - Attrition,Attrition Percentage,,Onsite Regional Leader (ME)
Differentiated Delivery - Assets/Accelerators,# of Delivery Assets & Accelerators,,Onsite Regional Leader (ME)
Differentiated Delivery - Quality,"1. UAT defects, 2. Period Closing, 3. Rework, 4. Payroll Run, 5. Configuration-No of Iterations/Rework, 6. Integration /Reports/DM- No of Iterations/Rework/SIT Defects/QC, 7. Extension- No of Iterations/Rework/SIT Defects/QC 8. Testing - No of bugs/Defects found/QC",,Onsite Regional Leader (ME)
Differentiated Delivery - Productivity,Allocated Man-Days at the time of Kick-Off v/s Actual Man-Days at the time of Project Closure,,Onsite Regional Leader (ME)
Differentiated Delivery - Standardization,"Manager sets quarterly Standardization Target for the Team, 
if the target gets completed then kpi is achieved. (1-5 Score)",,Onsite Regional Leader (ME)
Differentiated Delivery - Compliance,"Compliance (Processes, Trainings, Audits etc….)",5%,Onsite Regional Leader (ME)
Employee Experience - Employee Satisfaction,ESAT Index,10%,Onsite Regional Leader (ME)
Employee Experience - Internal Fulfillment,% of requisition to fulfillment,,Onsite Regional Leader (ME)
Employee Experience - People Quality Mix,"Grading Matrix Target ratio - A+,A,B+,B,C - 5:15:60:15:5",,Onsite Regional Leader (ME)
Employee Experience - Learning,"Manager sets quarterly Learning Goal for the Team, 
if the goal gets completed then kpi is achieved. (1-5 Score)",,Onsite Regional Leader (ME)
Customer Delight - Customer Satisfaction,CSAT Index,10%,Offshore Regional Leader (all regions except ME)
Customer Delight - Value Based Delivery,% of Existing Accounts New Business contracted as VBD,,Offshore Regional Leader (all regions except ME)
Growth/Scale - Revenue,Achievement of revenue target,20%,Offshore Regional Leader (all regions except ME)
Growth/Scale - Order Book,Achievement of upsell target,,Offshore Regional Leader (all regions except ME)
Growth/Scale - On Time Fulfillment,Requisition to Fulfillment,,Offshore Regional Leader (all regions except ME)
Growth/Scale - Delivery Led Growth,# of Account mining into existing accounts (Cross Sell),,Offshore Regional Leader (all regions except ME)
Growth/Scale - Managed Services,% of EANB revenue into Annuity,,Offshore Regional Leader (all regions except ME)
Growth/Scale - Collection,Timely collection against the invoice raised to Client.,,Offshore Regional Leader (all regions except ME)
Margins/Optimizations - GM Target,Achevement of GM targets,30%,Offshore Regional Leader (all regions except ME)
Margins/Optimizations - Attrition,Attrition Percentage,,Offshore Regional Leader (all regions except ME)
Differentiated Delivery - Assets/Accelerators,# of Delivery Assets & Accelerators,,Offshore Regional Leader (all regions except ME)
Differentiated Delivery - Quality,Refer Qaulity Defination,15%,Offshore Regional Leader (all regions except ME)
Differentiated Delivery - Productivity,Allocated Man-Days at the time of Kick-Off v/s Actual Man-Days at the time of Project Closure,,Offshore Regional Leader (all regions except ME)
Differentiated Delivery - Standardization,"Manager sets quarterly Standardization Target for the Team, 
if the target gets completed then kpi is achieved. (1-5 Score)",,Offshore Regional Leader (all regions except ME)
Differentiated Delivery - Compliance,"Compliance (Processes, Trainings, Audits etc….)",5%,Offshore Regional Leader (all regions except ME)
Employee Experience - Employee Satisfaction,ESAT Index,10%,Offshore Regional Leader (all regions except ME)
Employee Experience - Internal Fulfillment,% of requisition to fulfillment,,Offshore Regional Leader (all regions except ME)
Employee Experience - People Quality Mix,"Grading Matrix Target ratio - A+,A,B+,B,C - 5:15:60:15:5",10%,Offshore Regional Leader (all regions except ME)
Employee Experience - Learning,"Manager sets quarterly Learning Goal for the Team, 
if the goal gets completed then kpi is achieved. (1-5 Score)",,Offshore Regional Leader (all regions except ME)
Customer Delight - Customer Satisfaction,CSAT Index,10%,Offshore Regional Leader (ME)
Customer Delight - Value Based Delivery,% of Existing Accounts New Business contracted as VBD,,Offshore Regional Leader (ME)
Growth/Scale - Revenue,Achievement of revenue target,20%,Offshore Regional Leader (ME)
Growth/Scale - Order Book,Achievement of upsell target,,Offshore Regional Leader (ME)
Growth/Scale - On Time Fulfillment,Requisition to Fulfillment,,Offshore Regional Leader (ME)
Growth/Scale - Delivery Led Growth,# of Account mining into existing accounts (Cross Sell),,Offshore Regional Leader (ME)
Growth/Scale - Managed Services,% of EANB revenue into Annuity,,Offshore Regional Leader (ME)
Growth/Scale - Collection,Timely collection against the invoice raised to Client.,,Offshore Regional Leader (ME)
Margins/Optimizations - GM Target,Achevement of GM targets,35%,Offshore Regional Leader (ME)
Margins/Optimizations - Attrition,Attrition Percentage,,Offshore Regional Leader (ME)
Differentiated Delivery - Assets/Accelerators,# of Delivery Assets & Accelerators,,Offshore Regional Leader (ME)
Differentiated Delivery - Quality,Refer Qaulity Defination,10%,Offshore Regional Leader (ME)
Differentiated Delivery - Productivity,Allocated Man-Days at the time of Kick-Off v/s Actual Man-Days at the time of Project Closure,,Offshore Regional Leader (ME)
Differentiated Delivery - Standardization,"Manager sets quarterly Standardization Target for the Team, 
if the target gets completed then kpi is achieved. (1-5 Score)",,Offshore Regional Leader (ME)
Differentiated Delivery - Compliance,"Compliance (Processes, Trainings, Audits etc….)",5%,Offshore Regional Leader (ME)
Employee Experience - Employee Satisfaction,ESAT Index,10%,Offshore Regional Leader (ME)
Employee Experience - Internal Fulfillment,% of requisition to fulfillment,,Offshore Regional Leader (ME)
Employee Experience - People Quality Mix,"Grading Matrix Target ratio - A+,A,B+,B,C - 5:15:60:15:5",10%,Offshore Regional Leader (ME)
Employee Experience - Learning,"Manager sets quarterly Learning Goal for the Team, 
if the goal gets completed then kpi is achieved. (1-5 Score)",,Offshore Regional Leader (ME)
Order Book - Contract Order Book for Implementations and Annual contract value (ACV) for Support. For Third Party Licenses or Services 2x of Gross Margin,,80%,Sales Team
Order Booking/ Revenue Booking against the target,,20%,Sales Team
Order Book - Contract Order Book for Implementations and Annual contract value (ACV) for Support. For Third Party Licenses or Services 2x of Gross Margin,,70%,PreSales Team
Win Ratio - Won Proposals / Total Proposals,,20%,PreSales Team
Estimated Gross Margin to Actual Gross Margin - Accuracy of Estimated Gross Margin to Actual Gross Margin,,10%,PreSales Team
Order Book - Contract New Order Book for Implementations and Annual contract value (ACV) for Support. For Third Party Licenses or Services 2x of Gross Margin,,,Account Manager/ Client Partner
Order Booking/ Revenue Booking against the target,,,Account Manager/ Client Partner
Gross Margin - GM 1,,,Account Manager/ Client Partner
Customer Delight - Customer Satisfaction,CSAT Index,15%,Account Manager/ Client Partner
Process Compliance,"Compliance (Processes, Trainings, Audits etc….)",,Account Manager/ Client Partner
Growth/Scale - Revenue,Net new business from existing accounts,,Account Manager/ Client Partner
Growth/Scale - Order Book,Achievement of upsell target,,Account Manager/ Client Partner
